"year","plot","date","time","session","camera_direction","image","species","count"
"2020","3","5/31",NA,"2","E",NA,"Unidentified Ungulate","2"
"2020","3","5/31",NA,"2","E",NA,"Unidentified Mammal","1"
"2020","6","5/31",NA,"2","E",NA,"Mule Deer","8"
"2020","6","5/31",NA,"2","E",NA,"Unidentified Ungulate","1"
"2020","3","6/1",NA,"2","E",NA,"Unidentified Deer","4"
"2020","1","6/2",NA,"2","E",NA,"Elk","1"
"2020","1","6/2",NA,"2","E",NA,"Unidentified Ungulate","1"
"2020","2","6/2",NA,"2","E",NA,"Mule Deer","4"
"2020","2","6/2",NA,"2","E",NA,"Unidentified Deer","1"
"2020","2","6/3",NA,"2","E",NA,"Mule Deer","2"
"2020","2","6/3",NA,"2","E",NA,"Unidentified Deer","5"
"2020","2","6/3",NA,"2","E",NA,"Elk","2"
"2020","2","6/3",NA,"2","E",NA,"Unidentified Ungulate","1"
"2020","3","6/3",NA,"2","E",NA,"Mule Deer","1"
"2020","3","6/3",NA,"2","E",NA,"Unidentified Deer","1"
"2020","3","6/3",NA,"2","E",NA,"Unidentified Ungulate","1"
"2020","4","6/4",NA,"2","E",NA,"Mule Deer","1"
"2020","6","6/4",NA,"2","E",NA,"Mule Deer","3"
"2020","6","6/4",NA,"2","E",NA,"Unidentified Ungulate","3"
"2020","6","6/4",NA,"2","E",NA,"Unidentified Mammal","1"
"2020","2","6/5",NA,"2","E",NA,"Mule Deer","1"
"2020","3","6/5",NA,"2","E",NA,"Mule Deer","3"
"2020","1","6/7",NA,"2","E",NA,"Prairie Dog","1"
"2020","4","6/7",NA,"2","E",NA,"Mule Deer","4"
"2020","1","6/8",NA,"2","E",NA,"Prairie Dog","1"
"2020","5","6/8",NA,"2","E",NA,"Unidentified Deer","1"
"2020","6","6/8",NA,"2","E",NA,"Unidentified Ungulate","1"
"2020","7","6/8",NA,"2","E",NA,"Mule Deer","7"
"2020","7","6/8",NA,"2","E",NA,"Unidentified Deer","3"
"2020","7","6/8",NA,"2","E",NA,"Unidentified Ungulate","1"
"2020","1","6/10",NA,"2","E",NA,"Coyote","1"
"2020","1","6/10",NA,"2","E",NA,"Prairie Dog","1"
"2020","2","6/10",NA,"2","E",NA,"Unidentified Deer","3"
"2020","2","6/10",NA,"2","E",NA,"Unidentified Ungulate","3"
"2020","3","6/10",NA,"2","E",NA,"Mule Deer","1"
"2020","3","6/10",NA,"2","E",NA,"Unidentified Ungulate","1"
"2020","6","6/10",NA,"2","E",NA,"Mule Deer","1"
"2020","6","6/10",NA,"2","E",NA,"White Tailed Deer","1"
"2020","6","6/10",NA,"2","E",NA,"Unidentified Deer","1"
"2020","7","6/10",NA,"2","E",NA,"Mule Deer","1"
"2020","7","6/11",NA,"2","E",NA,"Mule Deer","3"
"2020","5","6/15",NA,"3","S",NA,"Unidentified Deer","1"
"2020","8","6/15",NA,"3","S",NA,"Bobcat","1"
"2020","3","6/16",NA,"3","S",NA,"Elk","6"
"2020","5","6/16",NA,"3","S",NA,"Mule Deer","1"
"2020","5","6/16",NA,"3","S",NA,"Elk","1"
"2020","5","6/17",NA,"3","S",NA,"Mule Deer","1"
"2020","5","6/17",NA,"3","S",NA,"Unidentified Deer","1"
"2020","5","6/17",NA,"3","S",NA,"Coyote","1"
"2020","2","6/18",NA,"3","S",NA,"Unidentified Deer","1"
"2020","4","6/18",NA,"3","S",NA,"Bobcat","1"
"2020","5","6/18",NA,"3","S",NA,"Mule Deer","1"
"2020","8","6/18",NA,"3","S",NA,"Mule Deer","1"
"2020","2","6/19",NA,"3","S",NA,"Mule Deer","5"
"2020","2","6/19",NA,"3","S",NA,"White Tailed Deer","1"
"2020","2","6/19",NA,"3","S",NA,"Unidentified Deer","3"
"2020","2","6/19",NA,"3","S",NA,"Unidentified Ungulate","1"
"2020","5","6/19",NA,"3","S",NA,"Mule Deer","6"
"2020","4","6/20",NA,"3","S",NA,"Mule Deer","7"
"2020","5","6/20",NA,"3","S",NA,"Mule Deer","2"
"2020","5","6/21",NA,"3","S",NA,"Mule Deer","1"
"2020","8","6/21",NA,"3","S",NA,"Unidentified Deer","1"
"2020","8","6/21",NA,"3","S",NA,"Bobcat","1"
"2020","5","6/23",NA,"3","S",NA,"Unidentified Deer","1"
"2020","4","6/24",NA,"3","S",NA,"Unidentified Ungulate","1"
"2020","6","6/24",NA,"3","S",NA,"Unidentified Deer","1"
"2020","4","6/24",NA,"4","W",NA,"Mule Deer","1"
"2020","3","6/25",NA,"4","W",NA,"White Tailed Deer","1"
"2020","5","6/25",NA,"4","W",NA,"Mule Deer","1"
"2020","2","6/26",NA,"4","W",NA,"Mule Deer","1"
"2020","2","6/26",NA,"4","W",NA,"White Tailed Deer","1"
"2020","3","6/26",NA,"4","W",NA,"Mule Deer","3"
"2020","3","6/26",NA,"4","W",NA,"Unidentified Ungulate","1"
"2020","3","6/26",NA,"4","W",NA,"Unidentified Mammal","1"
"2020","4","6/26",NA,"4","W",NA,"Unidentified Deer","1"
"2020","4","6/26",NA,"4","W",NA,"Striped Skunk","1"
"2020","5","6/26",NA,"4","W",NA,"Striped Skunk","1"
"2020","7","6/26",NA,"4","W",NA,"Mule Deer","1"
"2020","7","6/26",NA,"4","W",NA,"Unidentified Deer","1"
"2020","2","6/27",NA,"4","W",NA,"Mule Deer","1"
"2020","4","6/27",NA,"4","W",NA,"Mule Deer","1"
"2020","4","6/28",NA,"4","W",NA,"Mule Deer","1"
"2020","2","6/30",NA,"4","W",NA,"Mule Deer","2"
"2020","2","6/30",NA,"4","W",NA,"Unidentified Deer","2"
"2020","6","6/30",NA,"4","W",NA,"Mule Deer","1"
"2020","3","7/1",NA,"4","W",NA,"Mule Deer","3"
"2020","3","7/1",NA,"4","W",NA,"Unidentified Deer","1"
"2020","4","7/1",NA,"4","W",NA,"Mule Deer","1"
"2020","4","7/1",NA,"4","W",NA,"Striped Skunk","1"
"2020","4","7/2",NA,"4","W",NA,"Unidentified Deer","1"
"2020","6","7/2",NA,"4","W",NA,"White Tailed Deer","1"
"2020","5","7/3",NA,"4","W",NA,"Mule Deer","2"
"2020","5","7/3",NA,"4","W",NA,"Unidentified Deer","2"
"2020","5","7/3",NA,"4","W",NA,"Striped Skunk","3"
"2020","4","7/4",NA,"4","W",NA,"Elk","1"
"2020","2","7/5",NA,"4","W",NA,"Mule Deer","1"
"2020","2","7/7",NA,"4","W",NA,"Mule Deer","1"
"2020","3","7/7",NA,"4","W",NA,"Coyote","1"
"2020","2","7/8",NA,"4","W",NA,"Unidentified Deer","1"
"2020","2","7/8",NA,"4","W",NA,"Unidentified Mammal","1"
"2020","3","7/8",NA,"4","W",NA,"Mule Deer","1"
"2020","5","7/8",NA,"4","W",NA,"Striped Skunk","1"
"2020","6","7/9",NA,"4","W",NA,"Unidentified Deer","1"
"2020","7","7/9",NA,"4","W",NA,"Unidentified Deer","3"
"2020","1","7/10",NA,"4","W",NA,"Elk","1"
"2020","2","7/10",NA,"4","W",NA,"Mule Deer","1"
"2020","6","7/10",NA,"4","W",NA,"Unidentified Deer","3"
"2020","2","7/11",NA,"5","N",NA,"Unidentified Deer","1"
"2020","1","7/12",NA,"5","N",NA,"Unidentified Deer","1"
"2020","2","7/12",NA,"5","N",NA,"Mule Deer","1"
"2020","5","7/12",NA,"5","N",NA,"Unidentified Deer","1"
"2020","2","7/13",NA,"5","N",NA,"Unidentified Deer","1"
"2020","5","7/14",NA,"5","N",NA,"Mule Deer","1"
"2020","4","7/16",NA,"5","N",NA,"Unidentified Deer","1"
"2020","4","7/16",NA,"5","N",NA,"Unidentified Ungulate","3"
"2020","2","7/17",NA,"5","N",NA,"Unidentified Deer","1"
"2020","6","7/18",NA,"6","E",NA,"Mule Deer","1"
"2020","1","7/19",NA,"6","E",NA,"Mountain Cottontail","1"
"2020","3","7/19",NA,"6","E",NA,"Elk","1"
"2020","2","7/20",NA,"6","E",NA,"Unidentified Deer","2"
"2020","2","7/20",NA,"6","E",NA,"Elk","3"
"2020","2","7/20",NA,"6","E",NA,"Unidentified Mammal","1"
"2020","6","7/21",NA,"6","E",NA,"Coyote","1"
"2020","1","7/22",NA,"6","E",NA,"Mountain Cottontail","1"
"2020","2","7/22",NA,"6","E",NA,"Unidentified Deer","1"
"2020","2","7/23",NA,"6","E",NA,"Mule Deer","1"
"2020","2","7/23",NA,"6","E",NA,"Unidentified Deer","1"
"2020","2","7/23",NA,"6","E",NA,"Coyote","1"
"2020","2","7/23",NA,"6","E",NA,"Unidentified Mammal","2"
"2020","5","7/24",NA,"6","E",NA,"Elk","3"
"2020","5","7/24",NA,"6","E",NA,"Unidentified Ungulate","3"
"2020","5","7/24",NA,"6","E",NA,"Unidentified Mammal","1"
"2020","5","7/24",NA,"7","S",NA,"Elk","4"
"2020","5","7/24",NA,"7","S",NA,"Unidentified Ungulate","1"
"2020","6","7/24",NA,"7","S",NA,"Mule Deer","1"
"2020","5","7/25",NA,"7","S",NA,"Unidentified Ungulate","1"
"2020","4","7/26",NA,"7","S",NA,"Unidentified Ungulate","1"
"2020","4","7/27",NA,"7","S",NA,"Unidentified Deer","1"
"2020","7","7/27",NA,"7","S",NA,"Unidentified Deer","1"
"2020","1","7/28",NA,"7","S",NA,"Coyote","1"
"2020","5","7/28",NA,"7","S",NA,"Mule Deer","1"
"2020","1","7/30",NA,"7","S",NA,"Coyote","1"
"2020","4","7/30",NA,"7","S",NA,"Unidentified Deer","2"
"2020","5","7/30",NA,"7","S",NA,"Unidentified Ungulate","1"
"2020","3","8/1",NA,"7","S",NA,"Mule Deer","1"
"2020","5","8/1",NA,"7","S",NA,"Elk","1"
"2020","5","8/1",NA,"7","S",NA,"Unidentified Ungulate","1"
"2020","2","8/2",NA,"7","S",NA,"Mule Deer","1"
"2020","2","8/3",NA,"7","S",NA,"Unidentified Deer","1"
"2020","1","8/4",NA,"7","S",NA,"Mule Deer","8"
"2020","1","8/4",NA,"7","S",NA,"Unidentified Deer","5"
"2020","5","8/5",NA,"7","S",NA,"Elk","1"
"2020","7","8/5",NA,"7","S",NA,"Mule Deer","1"
"2020","8","8/9",NA,"8","W",NA,"Black Bear","1"
"2020","2","8/10",NA,"8","W",NA,"Elk","2"
"2020","2","8/10",NA,"8","W",NA,"Unidentified Ungulate","2"
"2020","2","8/10",NA,"8","W",NA,"Unidentified Mammal","2"
"2020","3","8/10",NA,"8","W",NA,"Elk","3"
"2020","5","8/12",NA,"8","W",NA,"Mule Deer","2"
"2020","5","8/12",NA,"8","W",NA,"Unidentified Deer","1"
"2021","1","5/15","612","1","N","1","Elk","2"
"2021","1","5/15","612","1","N","2","Elk","1"
"2021","1","5/16","2005","1","N","3","Mule Deer","1"
"2021","1","5/16","2006","1","N","4","Mule Deer","1"
"2021","1","5/16","2006","1","N","5","Mule Deer","2"
"2021","1","5/17","544","1","N","10","Elk","2"
"2021","1","5/17","545","1","N","11","Elk","3"
"2021","1","5/17","545","1","N","12","Elk","1"
"2021","1","5/17","551","1","N","13","Elk","1"
"2021","1","6/3","2219","2","E","15","Mule Deer","1"
"2021","1","6/10","235","2","E","17","Mule Deer","1"
"2021","1","6/13","757","2","E","18","Mule Deer","1"
"2021","1","6/15","532","2","E","19","White Tailed Deer","1"
"2021","1","6/15","533","2","E","20","White Tailed Deer","1"
"2021","1","6/15","533","2","E","21","White Tailed Deer","1"
"2021","1","6/20","406","3","S","25","Coyote","1"
"2021","1","6/27","520","3","S","28","Mule Deer","1"
"2021","1","6/27","520","3","S","29","Mule Deer","3"
"2021","1","6/27","520","3","S","30","Mule Deer","1"
"2021","1","7/8","247","4","W","32","Unidentified Deer","1"
"2021","1","7/11","428","4","W","33","Unidentified Ungulate","1"
"2021","1","7/14","557","4","W","34","Bobcat","1"
"2021","1","7/15","143","5","N","35","Unidentified Ungulate","1"
"2021","1","7/24","2109","5","N","37","Mule Deer","1"
"2021","1","7/25","326","5","N","39","Unidentified Ungulate","1"
"2021","1","7/25","327","5","N","40","Unidentified Ungulate","1"
"2021","2","5/16","247","1","N","1","Unidentified Mammal","1"
"2021","2","5/16","248","1","N","5","Unidentified Ungulate","1"
"2021","2","5/16","457","1","N","7","Unidentified Deer","1"
"2021","2","5/17","601","1","N","8","Unidentified Deer","1"
"2021","2","6/4","517","2","E","10","Unidentified Deer","1"
"2021","2","6/5","2035","2","E","11","Unidentified Deer","1"
"2021","2","6/5","2036","2","E","12","Mule Deer","1"
"2021","2","6/5","2037","2","E","13","Mule Deer","1"
"2021","2","6/5","2037","2","E","14","Mule Deer","1"
"2021","2","6/8","538","2","E","15","Unidentified Deer","1"
"2021","2","6/13","526","2","E","16","Mule Deer","1"
"2021","2","6/13","813","2","E","17","Mule Deer","1"
"2021","2","6/13","1941","2","E","18","Mule Deer","3"
"2021","2","6/13","1947","2","E","19","Mule Deer","1"
"2021","2","6/13","2028","2","E","22","Mule Deer","1"
"2021","2","6/16","500","3","S","23","Mule Deer","1"
"2021","2","6/16","501","3","S","24","Unidentified Deer","1"
"2021","2","6/19","2155","3","S","25","Elk","1"
"2021","2","6/23","1130","3","S","28","Mule Deer","1"
"2021","2","6/24","2051","3","S","30","Unidentified Deer","1"
"2021","2","6/28","2142","3","S","31","Mule Deer","1"
"2021","2","6/28","2142","3","S","32","Mule Deer","1"
"2021","2","6/28","2143","3","S","33","Mule Deer","1"
"2021","2","6/30","1750","4","W","34","Mule Deer","1"
"2021","2","6/30","1758","4","W","35","Mule Deer","1"
"2021","2","7/2","702","4","W","36","Mule Deer","1"
"2021","2","7/4","547","4","W","37","Mule Deer","3"
"2021","2","7/6","2020","4","W","39","Mule Deer","1"
"2021","2","7/7","2304","4","W","40","Unidentified Deer","1"
"2021","2","7/7","2306","4","W","41","Mule Deer","1"
"2021","2","7/8","1447","4","W","42","Mule Deer","1"
"2021","2","7/8","2346","4","W","43","Bobcat","1"
"2021","2","7/9","659","4","W","44","Bobcat","1"
"2021","2","7/11","725","4","W","45","Mule Deer","1"
"2021","2","7/12","915","4","W","46","Mule Deer","1"
"2021","2","7/12","1948","4","W","47","Unidentified Deer","1"
"2021","2","7/12","2216","4","W","48","Unidentified Deer","2"
"2021","2","7/13","2212","4","W","49","Unidentified Deer","1"
"2021","2","7/13","2215","4","W","50","Unidentified Deer","1"
"2021","2","7/13","2220","4","W","51","Unidentified Deer","1"
"2021","2","7/24","157","5","N","54","Unidentified Ungulate","1"
"2021","2","7/27","35","6","E","55","Unidentified Deer","1"
"2021","2","8/4","927","7","S","57","Mule Deer","1"
"2021","2","8/7","301","7","S","58","Unidentified Mammal","1"
"2021","2","8/7","302","7","S","59","Unidentified Mammal","1"
"2021","3","5/23","2113","1","N","90","Unidentified Mammal","1"
"2021","3","5/27","1456","1","N","98","Coyote","1"
"2021","3","5/27","2037","1","N","99","Elk","1"
"2021","3","5/27","2038","1","N","100","Elk","2"
"2021","3","5/27","2039","1","N","101","Elk","2"
"2021","3","5/27","2039","1","N","102","Elk","3"
"2021","3","5/27","2040","1","N","103","Elk","2"
"2021","3","5/27","2040","1","N","104","Elk","1"
"2021","3","5/27","2040","1","N","105","Elk","1"
"2021","3","5/27","2136","1","N","108","Elk","1"
"2021","3","5/27","2137","1","N","110","Unidentified Ungulate","1"
"2021","3","5/27","2137","1","N","111","Elk","1"
"2021","3","5/27","2138","1","N","112","Elk","1"
"2021","3","5/27","2139","1","N","113","Elk","1"
"2021","3","5/27","2140","1","N","114","Elk","1"
"2021","3","5/27","2146","1","N","115","Elk","1"
"2021","3","5/27","2146","1","N","116","Elk","1"
"2021","3","5/27","2156","1","N","117","Unidentified Ungulate","1"
"2021","3","5/27","2157","1","N","118","Unidentified Ungulate","1"
"2021","3","5/27","2159","1","N","119","Elk","1"
"2021","3","5/27","2200","1","N","120","Unidentified Ungulate","1"
"2021","3","6/1","334","1","N","124","Elk","1"
"2021","3","6/1","334","1","N","124","Unidentified Ungulate","1"
"2021","3","6/1","335","1","N","125","Elk","1"
"2021","3","6/1","335","1","N","125","Unidentified Ungulate","1"
"2021","3","6/1","338","1","N","126","Unidentified Ungulate","1"
"2021","3","6/1","2300","2","E","130","Unidentified Mammal","1"
"2021","3","6/2","39","2","E","133","Elk","1"
"2021","3","6/2","39","2","E","134","Unidentified Mammal","1"
"2021","3","6/2","39","2","E","135","Unidentified Ungulate","1"
"2021","3","6/2","40","2","E","136","Unidentified Ungulate","1"
"2021","3","6/2","40","2","E","137","Unidentified Ungulate","1"
"2021","3","6/2","40","2","E","138","Unidentified Ungulate","1"
"2021","3","6/2","40","2","E","139","Unidentified Ungulate","1"
"2021","3","6/2","41","2","E","140","Unidentified Ungulate","1"
"2021","3","6/2","41","2","E","141","Unidentified Ungulate","1"
"2021","3","6/2","41","2","E","142","Unidentified Ungulate","1"
"2021","3","6/2","42","2","E","143","Unidentified Ungulate","1"
"2021","3","6/2","42","2","E","144","Unidentified Ungulate","1"
"2021","3","6/6","246","2","E","146","Unidentified Ungulate","1"
"2021","3","6/6","247","2","E","147","Unidentified Ungulate","1"
"2021","3","6/9","458","2","E","150","Elk","1"
"2021","3","6/9","501","2","E","151","Elk","1"
"2021","3","6/9","501","2","E","152","Unidentified Ungulate","1"
"2021","3","6/9","502","2","E","153","Elk","1"
"2021","3","6/9","502","2","E","154","Elk","1"
"2021","3","6/9","502","2","E","155","Elk","1"
"2021","3","6/9","503","2","E","156","Elk","1"
"2021","3","6/9","504","2","E","157","Unidentified Ungulate","1"
"2021","3","6/9","504","2","E","158","Unidentified Ungulate","1"
"2021","3","6/9","504","2","E","159","Unidentified Ungulate","1"
"2021","3","6/9","504","2","E","160","Unidentified Ungulate","1"
"2021","3","6/9","505","2","E","162","Elk","1"
"2021","3","6/9","505","2","E","163","Elk","1"
"2021","3","6/9","506","2","E","164","Elk","1"
"2021","3","6/9","506","2","E","165","Elk","1"
"2021","3","6/9","506","2","E","166","Elk","1"
"2021","3","6/9","506","2","E","167","Elk","1"
"2021","3","6/9","507","2","E","168","Elk","1"
"2021","3","6/11","243","2","E","171","Unidentified Ungulate","1"
"2021","3","6/11","244","2","E","172","Mule Deer","1"
"2021","3","6/11","244","2","E","173","Mule Deer","1"
"2021","3","6/11","244","2","E","174","Mule Deer","1"
"2021","3","6/13","805","2","E","175","White Tailed Deer","1"
"2021","3","6/13","805","2","E","176","Mule Deer","1"
"2021","3","6/15","2045","3","S","178","Mule Deer","1"
"2021","3","6/26","450","3","S","190","Unidentified Mammal","1"
"2021","3","6/26","451","3","S","193","Unidentified Mammal","1"
"2021","3","6/26","452","3","S","197","Unidentified Ungulate","1"
"2021","3","6/26","452","3","S","199","Unidentified Ungulate","1"
"2021","3","6/26","453","3","S","200","Unidentified Mammal","1"
"2021","3","6/26","453","3","S","201","Unidentified Mammal","1"
"2021","3","6/26","453","3","S","202","Unidentified Mammal","1"
"2021","3","6/26","454","3","S","203","Unidentified Mammal","1"
"2021","3","7/1","538","4","W","208","Unidentified Deer","1"
"2021","3","7/4","1239","4","W","209","Mule Deer","1"
"2021","3","7/7","215","4","W","212","Elk","1"
"2021","3","7/7","218","4","W","213","Unidentified Ungulate","1"
"2021","3","7/7","218","4","W","214","Unidentified Mammal","1"
"2021","3","7/7","218","4","W","215","Unidentified Mammal","1"
"2021","3","7/7","219","4","W","216","Unidentified Ungulate","1"
"2021","3","7/7","219","4","W","217","Unidentified Ungulate","1"
"2021","3","7/7","219","4","W","218","Unidentified Ungulate","1"
"2021","3","7/7","219","4","W","219","Unidentified Mammal","1"
"2021","3","7/7","518","4","W","222","Mountain Lion","1"
"2021","3","7/10","727","4","W","223","Unidentified Deer","1"
"2021","3","7/17","2225","5","N","225","Mule Deer","1"
"2021","3","8/8","857","8","W","228","Mule Deer","1"
"2021","3","8/9","842","8","W","229","Mule Deer","1"
"2021","4","5/15","552","1","N","2","Unidentified Deer","1"
"2021","4","5/15","553","1","N","3","Mule Deer","1"
"2021","4","5/15","553","1","N","4","Mule Deer","2"
"2021","4","5/15","554","1","N","5","Mule Deer","2"
"2021","4","5/15","604","1","N","6","Unidentified Ungulate","2"
"2021","4","5/19","2316","1","N","9","Elk","1"
"2021","4","5/24","2123","1","N","12","Unidentified Deer","1"
"2021","4","5/24","2123","1","N","13","Unidentified Deer","2"
"2021","4","5/26","253","1","N","14","Unidentified Mammal","1"
"2021","4","6/1","541","1","N","15","Mule Deer","1"
"2021","4","6/1","542","1","N","16","Unidentified Deer","1"
"2021","4","6/5","2007","2","E","18","Mule Deer","1"
"2021","4","6/11","2123","2","E","19","Mule Deer","1"
"2021","4","6/11","2124","2","E","20","Mule Deer","2"
"2021","4","6/12","2035","2","E","21","Mule Deer","2"
"2021","4","6/16","2111","3","S","22","Mule Deer","1"
"2021","4","6/20","512","3","S","23","Mule Deer","1"
"2021","4","6/20","525","3","S","24","Unidentified Deer","1"
"2021","4","6/20","525","3","S","25","Unidentified Deer","1"
"2021","4","6/20","526","3","S","26","Unidentified Deer","2"
"2021","4","7/7","128","4","W","29","Mule Deer","1"
"2021","4","7/7","128","4","W","30","Unidentified Deer","1"
"2021","4","7/21","1637","5","N","31","Unidentified Deer","1"
"2021","4","7/22","32","5","N","32","Mule Deer","1"
"2021","4","7/22","2350","5","N","33","Mule Deer","1"
"2021","4","7/22","2351","5","N","34","Mule Deer","2"
"2021","4","8/5","401","7","S","35","Mule Deer","1"
"2021","5","5/14","121","1","N","4","Unidentified Deer","1"
"2021","5","5/16","2056","1","N","7","Unidentified Ungulate","1"
"2021","5","5/16","2057","1","N","8","Elk","1"
"2021","5","5/16","2131","1","N","9","Unidentified Deer","2"
"2021","5","5/16","2136","1","N","10","Mule Deer","1"
"2021","5","5/16","2136","1","N","10","Unidentified Deer","1"
"2021","5","5/16","2137","1","N","11","Mule Deer","1"
"2021","5","5/16","2137","1","N","11","Unidentified Deer","1"
"2021","5","5/16","2138","1","N","12","Mule Deer","2"
"2021","5","5/16","2138","1","N","12","Unidentified Deer","1"
"2021","5","5/16","2138","1","N","13","Unidentified Deer","2"
"2021","5","5/16","2139","1","N","14","Unidentified Deer","2"
"2021","5","5/16","2139","1","N","15","Unidentified Deer","3"
"2021","5","5/16","2140","1","N","16","Mule Deer","1"
"2021","5","5/16","2140","1","N","16","Unidentified Deer","3"
"2021","5","5/17","539","1","N","17","Mule Deer","1"
"2021","5","5/17","540","1","N","18","Mule Deer","1"
"2021","5","5/17","540","1","N","19","Mule Deer","1"
"2021","5","5/17","541","1","N","20","Mule Deer","1"
"2021","5","5/17","541","1","N","21","Mule Deer","1"
"2021","5","5/17","541","1","N","22","Unidentified Deer","1"
"2021","5","5/17","544","1","N","23","Mule Deer","1"
"2021","5","5/17","2211","1","N","24","Unidentified Deer","6"
"2021","5","5/18","139","1","N","25","Unidentified Deer","1"
"2021","5","5/18","231","1","N","26","Unidentified Deer","1"
"2021","5","5/18","452","1","N","28","Mule Deer","1"
"2021","5","5/18","452","1","N","28","Unidentified Deer","2"
"2021","5","5/18","452","1","N","29","Mule Deer","1"
"2021","5","5/18","452","1","N","29","Unidentified Deer","2"
"2021","5","5/18","453","1","N","30","Unidentified Deer","2"
"2021","5","5/18","453","1","N","31","Mule Deer","1"
"2021","5","5/18","453","1","N","31","Unidentified Deer","1"
"2021","5","5/18","1910","1","N","32","Mule Deer","4"
"2021","5","5/18","1910","1","N","32","Unidentified Deer","1"
"2021","5","5/18","1910","1","N","33","Mule Deer","4"
"2021","5","5/18","1910","1","N","34","Mule Deer","4"
"2021","5","5/18","1911","1","N","35","Mule Deer","4"
"2021","5","5/18","1911","1","N","35","Unidentified Deer","2"
"2021","5","5/18","1911","1","N","36","Mule Deer","4"
"2021","5","5/18","1911","1","N","37","Unidentified Deer","4"
"2021","5","5/18","1912","1","N","38","Unidentified Deer","4"
"2021","5","5/18","1912","1","N","39","Mule Deer","2"
"2021","5","5/18","2028","1","N","40","Elk","1"
