"year","survey_order","survey_number","date","plot","species","alpha_code","count"
2021,2,6,"2021/06/12",2,"Broad-tailed Hummingbird","BTHU",1
2021,2,6,"2021/06/12",2,"Lark Sparrow","LASP",1
2021,2,6,"2021/06/12",2,"Mourning Dove","MODO",1
2021,2,6,"2021/06/12",2,"Spotted Towhee","SPTO",3
2021,2,6,"2021/06/12",2,"Yellow-breasted Chat","YBCH",1
2021,2,6,"2021/06/12",3,"Lark Sparrow","LASP",2
2021,2,6,"2021/06/12",3,"Mourning Dove","MODO",1
2021,2,6,"2021/06/12",5,"Western Kingbird","WEKI",1
2021,2,6,"2021/06/12",6,"Lark Sparrow","LASP",2
2021,2,6,"2021/06/12",6,"Mourning Dove","MODO",1
2021,2,6,"2021/06/12",6,"Spotted Towhee","SPTO",1
2021,2,6,"2021/06/12",6,"Yellow-breasted Chat","YBCH",1
2021,2,6,"2021/06/12",7,"Passerine species",NA,1
2021,3,7,"2021/06/26",1,"Bullock's Oriole","BUOR",1
2021,3,7,"2021/06/26",1,"Common Grackle","COGR",1
2021,3,7,"2021/06/26",1,"Lark Sparrow","LASP",3
2021,3,7,"2021/06/26",1,"Spotted Towhee","SPTO",1
2021,3,7,"2021/06/26",1,"Western Kingbird","WEKI",1
2021,3,7,"2021/06/26",2,"Blue Grosbeak","BLGR",1
2021,3,7,"2021/06/26",2,"Broad-tailed Hummingbird","BTHU",1
2021,3,7,"2021/06/26",2,"Lazuli Bunting","LAZB",3
2021,3,7,"2021/06/26",2,"Spotted Towhee","SPTO",1
2021,3,7,"2021/06/26",3,"Bullock's Oriole","BUOR",2
2021,3,7,"2021/06/26",3,"Lark Sparrow","LASP",3
2021,3,7,"2021/06/26",4,"Lark Sparrow","LASP",4
2021,3,7,"2021/06/26",4,"Lazuli Bunting","LAZB",1
2021,3,7,"2021/06/26",5,"Western Kingbird","WEKI",1
2021,3,7,"2021/06/26",5,"Passerine species",NA,1
2021,3,7,"2021/06/26",6,"Black-billed Magpie","BBMA",1
2021,3,7,"2021/06/26",6,"Lark Sparrow","LASP",3
2021,3,7,"2021/06/26",7,"Lark Sparrow","LASP",1
2021,3,7,"2021/06/26",7,"Passerine species",NA,1
2021,3,7,"2021/06/26",8,"Broad-tailed Hummingbird","BTHU",1
2021,3,7,"2021/06/26",8,"Lark Sparrow","LASP",3
2021,3,7,"2021/06/26",8,"Spotted Towhee","SPTO",1
2021,3,7,"2021/06/26",8,"Western Wood-Pewee","WEWP",1
2021,4,8,"2021/07/10",1,"Black-billed Magpie","BBMA",3
2021,4,8,"2021/07/10",2,"Broad-tailed Hummingbird","BTHU",1
2021,4,8,"2021/07/10",2,"House Finch","HOFI",2
2021,4,8,"2021/07/10",2,"Lark Sparrow","LASP",3
2021,4,8,"2021/07/10",2,"Spotted Towhee","SPTO",1
2021,4,8,"2021/07/10",2,"Virginia's Warbler","VIWA",1
2021,4,8,"2021/07/10",2,"Yellow-breasted Chat","YBCH",2
2021,4,8,"2021/07/10",3,"Lark Sparrow","LASP",2
2021,4,8,"2021/07/10",3,"Spotted towhee","LASP",1
2021,4,8,"2021/07/10",4,"Mourning Dove","MODO",3
2021,4,8,"2021/07/10",5,"Red-tailed Hawk","RTHA",1
2021,4,8,"2021/07/10",5,"Yellow-breasted Chat","YBCH",1
2021,4,8,"2021/07/10",6,"Lark Sparrow","LASP",3
2021,4,8,"2021/07/10",6,"Spotted Towhee","SPTO",1
2021,4,8,"2021/07/10",7,"Lark Sparrow","LASP",2
2021,4,8,"2021/07/10",7,"Spotted Towhee","SPTO",1
2021,4,8,"2021/07/10",7,"Passerine species",NA,1
2021,4,8,"2021/07/10",8,"Broad-tailed Hummingbird","BTHU",1
2021,4,8,"2021/07/10",8,"Lark Sparrow","LASP",1
